nome,lon,lat,ra
C DE CONVIVENCIA EDUCACIONAL INF DIVINO ESPIRITO SANTO,-48.081742361789374,-16.00626302246213,GAMA
C INTEGRAL OFICINA DO SABER,-47.98838764331109,-15.815876491779004,GUARA
CE CASINHA FELIZ,-47.97610394887356,-15.843242083497934,GUARA
CE ESPACO DO SABER,-47.98764223024077,-15.822963405004076,GUARA
CE PIAGET,-47.9832718221991,-15.821094460486867,GUARA
COL ALUB - SEDE VI - ENS FUND,-47.985709297171745,-15.814812456281045,GUARA
COL ALUB - SEDE VI - ENS MEDIO,-47.98561939958101,-15.8150430566699,GUARA
CED JUSCELINO KUBITSCHEK - GUARA,-47.989982684267666,-15.812030084346665,GUARA
CED PROJECAO GUARA,-47.983698056676936,-15.819370493659386,GUARA
COL EVANGELICO ARTUR XAVIER DE PAULA,-47.97805309104544,-15.82276522521225,GUARA
COL GUARAZINHO,-47.99103522897777,-15.818116208187734,GUARA
COL MAXWELL,-47.97828276256943,-15.822900591822473,BRASILIA
COL PROGRESSAO,-47.99213038040512,-15.81910074335936,GUARA
COL ROGACIONISTA,-47.971221793272285,-15.846851427072552,GUARA
CR COMUNITARIA DA QE 38,-47.968803677923404,-15.847300482353765,GUARA
ESC ADVENTISTA DO GUARA,-47.97520979473017,-15.832157944363228,GUARA
ESC CANTINHO CRISTAO,-47.97979015091225,-15.845113252559601,GUARA
ESC DE EDUC INF CASTELINHO PIM,-47.97168578035966,-15.836596571518719,GUARA
EC CATINGUEIRO,-47.93540336710135,-15.563528039195896,FERCAL
ESC MATER DEI,-47.98853247589989,-15.813299791708006,GUARA
ESC MUNDO MAGICO DO SABER,-47.984743453647916,-15.837327955291851,GUARA
ESC PADRE DI FRANCIA,-47.96689512458391,-15.84672750983645,GUARA
ESC PEDACINHO DO CEU,-47.980386901993185,-15.828619314331597,GUARA
ESPACO CRIANCA,-47.986927031752515,-15.82594022390417,GUARA
JI A PANTERINHA,-47.97898313927707,-15.84368963457263,GUARA
JOAO E MARIA,-47.979761222153016,-15.825666156616675,GUARA
